lon,lat
147.0807548,-37.9671369
144.4446021,-37.6585113
143.8064559,-37.552431
145.9890504,-36.5485025
145.3638133,-38.0432476
144.997484,-37.9053964
144.7324937,-37.5801574
144.925397,-37.63818699999999
143.8879648,-37.6505742
145.1045236,-38.0199834
144.94402,-37.7205459
143.5804792,-38.3661859
145.2017785,-38.1488172
145.1926541,-38.1054959
145.2810141,-38.1072931
145.7086579,-37.1922518
145.1260735,-37.7033227
144.8257971,-37.8676827
144.8104432,-37.870943
144.844204,-37.865642
144.7813967,-37.870754
144.7820381,-37.8818541
145.0634214,-37.70397579999999
141.9507405,-36.7389747
142.931597,-37.2836413
142.9375151,-37.2835914
142.7431478,-37.5449126
147.1233541,-38.1054893
145.1490086,-37.6723963
144.4408261,-37.673962
145.1251898,-37.6924662
147.6193292,-37.822612
147.6012802,-37.8248716
147.4564062,-37.7998558
147.7219839,-37.9099623
144.2235331,-37.5986157
143.8671443,-37.5612747
143.8345668,-37.5754729
143.8310772,-37.54295159999999
143.871378,-37.5625232
143.8587201,-37.5502965
143.8400772,-37.5656361
143.8540249,-37.578023
143.8949911,-37.5518485
143.8696909,-37.5493923
143.8803873,-37.56928610000001
143.8510181,-37.5584153
143.8371122,-37.5380632
144.0591117,-38.1027985
144.1695756,-38.2440556
144.1802142,-38.4113131
144.2930147,-38.3497385
146.690902,-36.3629203
144.4664089,-38.1929794
144.3997524,-38.1658441
144.5279271,-38.2664433
144.6535247,-38.1152845
144.4692151,-38.1874252
144.5259264,-38.2608655
144.5614745,-38.1597278
144.5751983,-38.1486699
145.9761538,-36.558612
145.9721833,-36.5553339
144.2715758,-36.7638809
144.2943172,-36.758543
144.2827079,-36.7420088
144.2912079,-36.7727245
144.259219,-36.7742115
144.3075042,-36.7265192
144.2732758,-36.7546566
145.3164011,-37.9794547
145.325519,-38.02598
145.29402579999999,-38.0075996
145.2489258,-37.9700465
145.269988,-37.981089
145.2655036,-37.9663522
145.3190105,-38.0391403
145.3469929,-38.0514341
145.3004906,-38.0041606
145.3053423,-38.0389097
145.2732359,-37.9718605
145.315782,-38.0058114
145.2818256,-38.0024956
145.1926541,-37.6378502
145.347195,-38.0356891
145.3672795,-38.0457733
145.541738,-37.9514553
145.5696251,-38.0826786
145.478239,-38.075151
145.7200211,-38.0954037
145.6747494,-38.087271200000004
145.4150853,-37.9966356
145.4840534,-37.9349747
145.5625415,-38.2650652
145.1292015,-37.802375
145.1055187,-37.7999898
145.1166607,-37.8097514
145.1199308,-37.8388978
145.1235523,-37.8005392
145.1086908,-37.8423932
145.1069371,-37.8102915
145.1025561,-37.826836
145.5731768,-36.75234349999999
144.9985523,-37.9098055
145.0146762,-37.911474
144.9794432,-37.7860731
144.9968559,-37.9248194
145.0540888,-37.2035945
